time (sec),X vibration (g),Y vibration (g),Z vibration (g)
8.99961,-0.00162641,-0.0011503,0.000341065
9.00961,-0.00107719,-0.00049399,-0.000452315
9.01961,-0.000131251,0.000681113,-0.0043127
9.02961,-0.000131349,0.000681295,-0.00431263
9.03961,-0.000223001,0.00179536,0.000127708
9.04961,-0.00107759,0.00159718,-0.00176431
9.05961,-0.00107769,0.00159735,-0.00176426
9.06961,0.000676956,0.000971925,0.00604824
9.07961,0.00105832,0.000605891,0.00185215
9.08961,0.00105821,0.000606065,0.00185219
9.09961,-4.05213e-05,0.00100296,0.00226422
9.10961,-0.000116924,0.00100313,-0.00342724
9.1196,0.000737453,0.000606578,0.00366808
9.1296,0.000737341,0.000606746,0.00366811
9.1396,0.00180534,-0.000552748,-0.00199283
9.1496,0.00288859,0.000179834,-0.00257264
9.1596,0.000904845,-0.00227665,0.00218809
9.1696,0.000904728,-0.00227649,0.00218811
9.1796,0.00136237,-0.00320711,0.00302735
9.1896,0.0012707,-0.0010097,0.00350038
9.1996,0.000965405,-0.000444966,0.00578919
9.2096,0.000965283,-0.000444808,0.00578919
9.2196,0.000598952,-0.000993965,-0.00425102
9.2296,0.000598828,-0.000993811,-0.00425102
9.2396,0.000171459,-1.84291e-06,-0.000787306
9.2496,-0.00136979,0.000425552,-0.00319819
9.2596,-0.00136992,0.000425703,-0.0031982
9.2696,-0.00208721,-0.000794843,-0.00139768
9.2796,-0.00223993,0.00247066,0.000463859
9.2896,-0.00224006,0.00247081,0.00046384
9.2996,-0.0021639,0.00134181,0.00255426
9.3096,-0.00283541,-0.000336499,0.00559071
9.3196,-0.00172166,0.00120477,-0.000863738
9.3296,-0.0017218,0.00120491,-0.000863767
9.3396,-0.000913222,0.00132712,-0.00370191
9.34959,1.74209e-05,0.00028967,-3.98638e-05
9.35959,1.72827e-05,0.000289807,-3.99004e-05
9.36959,0.00149724,-0.000717131,-0.00084865
9.37959,0.0019396,-0.000564409,-0.00284758
9.38959,0.00334326,-0.00158661,0.000173597
