time (sec),X vibration (m/s^2),Y vibration (m/s^2),Z vibration (m/s^2)
8.99054,0.0152936,-0.0118269,-0.0540045
9.00054,0.0244232,-0.00763778,0.0508945
9.01054,0.0301111,-0.0318797,0.02546
9.02054,0.0184412,-0.0175153,-0.0264602
9.03054,0.00826767,-0.0196109,0.0402814
9.04054,0.0148534,0.000888556,0.0262191
9.05054,0.0027346,-0.00629471,-0.0207631
9.06054,0.00797363,-0.0053976,0.000189583
9.07054,-0.0191088,-0.011683,0.00587934
9.08055,-0.0273371,-0.00330405,-0.0431979
9.09055,-0.00025111,-0.00869164,-0.0274826
9.10055,-0.0276328,0.011359,-0.014311
9.11055,-0.0164083,0.00597146,0.00933501
9.12055,-0.0292753,-0.0036059,-0.0183443
9.13055,-0.0285253,0.00806515,0.035229
9.14055,-0.0331622,0.0164442,0.0503457
9.15055,-0.0137076,-0.00181203,-0.00830847
9.16055,-0.0223847,0.0239249,0.0382319
9.17055,-0.0132551,0.0131505,-0.000969604
9.18055,0.00859374,0.0248217,-0.0361309
9.19055,0.00231087,0.0152444,0.022081
9.20055,0.00515586,0.0258682,-0.0560261
9.21055,0.0265558,0.00222512,-0.0347744
9.22055,0.0111451,0.00162614,-0.0064899
9.23055,0.00905216,-0.00181592,0.00458639
9.24055,0.024317,-0.0238129,0.0370607
9.25056,0.027611,-0.0181271,-0.0199477
9.26056,0.0240217,-0.0087003,0.0215047
9.27056,0.0180383,0.00820832,0.0415591
9.28056,0.0216316,0.0101533,0.0251021
9.29056,0.0129547,0.00985376,-0.0175413
9.30056,0.0258255,-0.0151358,0.0102942
9.31056,0.00203537,-0.0143878,-0.045218
9.32056,-0.0106816,-0.0344393,-0.0387807
9.33056,-0.0109788,-0.0244138,-0.0181279
9.34056,-0.0139694,-0.00511085,-0.0272528
9.35056,-0.0253396,0.0179331,0.0303602
9.36056,-0.0401514,0.0106008,0.0213849
9.37056,-0.0268315,0.0260133,0.0160008
9.38056,-0.0371542,0.0252651,0.0204927
9.39056,-0.0250314,0.0309513,0.021543
9.40056,-0.0144049,0.0171848,0.00433759
9.41056,-0.0127566,-0.00615845,0.00179654
9.42057,-0.0308604,-0.00615835,-0.0315697
9.43057,-0.00990888,0.00386743,-0.0353079
9.44057,0.0144843,-0.0103479,-0.0203415
9.45057,0.0231656,-0.00989878,-0.0146526
9.46057,0.0186789,-0.0199242,0.0468507
9.47057,0.0213748,-0.0191758,-0.0466695
9.48057,0.0216765,-0.0220186,-0.056094
9.49057,0.0152446,-0.00600715,0.0851656
9.50057,0.0186887,0.0161394,0.0998326
9.51057,0.00507429,0.00267251,-0.0726958
9.52057,0.015701,0.0284104,-0.0500981
9.53057,-0.00374919,0.019283,0.0685663
9.54057,0.0049323,0.00162639,0.0185902
9.55057,0.0013436,-0.0242602,-0.0331815
9.56057,0.00134621,-0.0242597,-0.033179
9.57057,-0.0185528,-0.0287482,-0.00100465
9.58058,-0.0204955,-0.0275505,-0.00459343
9.59058,-0.0279747,-0.0161775,-0.0135692
9.60058,-0.0139062,-0.00345769,0.0567625
9.61058,-0.0148013,0.0197367,0.000351981
9.62058,-0.00956131,0.020336,0.0465921
9.63058,0.00779924,0.0180922,0.0307331
9.64058,-0.0210779,0.0149506,-0.0687728
9.65058,0.00107105,0.00208273,-0.0609893
9.66058,-0.00984968,0.0230327,0.0247549
9.67058,0.00317145,-0.0100361,-0.0144475
9.68058,-0.00251198,-0.0101848,-0.044522
9.69058,0.0215823,-0.0203591,-0.00172357
9.70058,0.00841704,-0.0218545,-0.00486354
9.71058,0.00827018,-0.022452,0.0202778
9.72058,0.00393351,-0.00165145,0.0371891
9.73058,0.00528303,-0.0127235,0.0322535
9.74058,0.00498655,-0.00179889,-0.0350806
9.75059,-0.00428813,0.0206477,-0.0102385
9.76059,0.012474,0.021846,0.0325599
9.77059,-0.00188835,0.00538719,-0.0597635
9.78059,-0.00876884,-0.01586,-0.0955243
9.79059,0.00874143,-0.0110703,0.0339138
9.80059,-0.000982159,-0.00283905,0.0176058
9.81059,0.007101,0.00494337,-0.0642431
9.82059,-0.000976597,-0.0119642,0.0200048
9.83059,0.0171322,-0.00463066,0.0629529
9.84059,-0.00800398,-0.00956727,0.00489626
9.85059,0.0283605,-0.0215368,0.0156725
9.86059,0.000979713,-0.0142031,0.00355436
9.87059,0.00143136,-0.00372711,0.0107393
9.88059,-0.00125938,-0.0113571,-0.00661607
9.89059,0.0126595,0.00959356,-0.019632
9.90059,-0.0130753,0.00450745,-0.030553
9.91059,0.00458452,-0.0065641,-0.0420726
9.9206,-0.00319392,-0.00356978,-0.0357854
9.9306,-0.00184455,0.00959985,-0.0110929
9.9406,-0.00797702,0.0146891,0.0487643
9.9506,0.00384687,0.00391693,0.0369455
9.9606,-0.00153746,0.0163384,0.00372866
9.9706,0.00325347,0.0140956,0.0285709
9.9806,-0.0185909,0.0134987,-0.00524446
9.9906,-0.00123057,-0.00445596,0.0192985
10.0006,-0.016491,0.00108233,-0.0193052
10.0106,0.00206639,-0.00744521,-0.12345
10.0206,-0.0115481,-0.00983763,0.0595585
10.0306,0.00626106,-0.0147739,0.0442982
10.0406,-0.0241128,-0.0114801,-0.117456
10.0506,-0.0134862,-0.0146206,0.0272449
10.0606,-0.00420645,-0.0084837,0.0492441
10.0706,0.0110588,-0.00833224,0.0459548
10.0806,-0.0130305,-0.0131188,0.0167784
10.0906,-0.0022544,-0.0256864,0.00510945
10.1006,0.0236349,-0.0107209,0.0727479
10.1106,0.00717706,-0.0213432,-0.046809
10.1206,0.000146265,-0.0159544,-0.066259
10.1306,0.0163091,0.000208222,0.0301098
10.1406,0.013917,-0.00218408,-0.0613154
10.1506,-0.00538413,0.0030551,-0.0592176
10.1606,-0.0124151,0.00859355,0.0452316
10.1706,-0.00418312,0.0135335,0.00438366
10.1806,-0.0160025,0.0280501,0.012018
10.1906,-0.0263256,0.0169789,0.0299773
10.2006,-0.0154003,0.0256597,0.00558946
10.2106,-0.0233292,0.0280558,0.0531768
10.2206,-0.0134515,0.0145904,-0.0482738
10.2306,-0.00387302,0.0184829,-0.0205881
10.2406,-0.00880937,0.0253681,0.0100904
10.2506,-0.0120997,0.00696469,-0.0726556
10.2606,-0.00581343,0.00277676,0.00306356
10.2706,0.00166994,-0.0207143,0.017731
10.2806,0.00930291,-0.01757,-0.0295511
10.2906,0.00466563,-0.0171192,0.0373396
10.3006,0.0256162,-0.0190626,0.0485654
10.3106,0.00676334,-0.00499494,0.00801702
10.3206,0.0250203,-0.00349671,0.0210386
10.3306,0.0152952,-0.0154658,0.0153555
10.3406,0.00781467,-0.00678502,0.0219427
10.3506,0.0160459,-0.0202505,-0.0127698
10.3606,-0.0046028,-0.0156099,-0.00423728
10.3706,-0.00400313,0.00728628,-0.0153072
10.3806,-0.00190713,0.00220043,-0.0639358
10.3906,-0.0102857,-0.00049125,0.0572731
10.4006,-0.00729201,0.0147735,0.0506924
10.4106,-0.0252474,0.017319,-0.00437058
10.4206,-0.0117792,0.0179193,0.039177
10.4306,-0.0312311,0.0120852,0.00341717
10.4406,-0.00728842,0.0111891,0.00222342
10.4506,0.00333658,0.0120886,-0.00869669
10.4606,0.0160564,-0.000928119,-0.0112371
10.4706,0.0124659,-0.00137538,-0.0504385
10.4806,0.0230908,0.00326499,-0.0257451
10.4906,0.0423945,-0.000623952,0.0100215
10.5006,0.0525704,-0.010648,-0.0281324
10.5106,0.0269831,0.00102521,0.0273862
10.5206,0.0371589,-0.0149844,0.0755727
10.5306,0.0204001,-0.00241336,0.000608199
10.5406,0.0247401,-0.00196294,0.0291923
10.5506,-0.012968,-0.0021111,0.00256046
10.5606,-0.0113216,-0.00540165,-0.0165895
10.5706,-0.00728102,-0.0272472,-0.0349913
10.5806,-0.00219306,-0.00884046,-0.0149364
10.5906,-0.0168572,-0.0149742,-0.0173271
10.6006,-0.0174555,-0.0193123,-0.0684992
10.6106,-0.0321196,-0.00913567,0.0100636
10.6206,-0.0268822,0.0029862,0.0227862
10.6306,-0.0276302,0.0133124,0.0148591
10.6406,-0.026433,0.0104705,0.0205489
10.6506,-0.00967358,0.0112199,0.0340198
10.6606,0.000950686,0.023641,0.0721808
10.6706,0.0102282,-0.0124203,0.0195123
10.6806,-0.00907492,-0.00538624,-0.0808902
10.6906,0.0168122,-0.0110713,-0.0204334
10.7006,0.0109763,-0.00643153,0.0416695
10.7106,0.00813316,0.0179603,-0.0980874
10.7206,0.00184833,0.0197569,-0.0344882
10.7306,-0.00712999,-0.00538106,0.0778926
10.7406,0.0126219,-0.00223775,-0.0765287
10.7506,0.00289535,0.00300044,0.0831373
10.7606,0.0106763,-0.00627616,0.0574035
10.7706,-0.00204306,0.00240361,-0.0216009
10.7806,0.0120226,0.0104848,0.058608
10.7906,-0.012967,0.000459912,0.00444331
10.8006,-0.00428836,0.01722,-0.0242832
10.8106,-0.0113216,0.00270591,-0.00587413
10.8206,0.00498851,-0.0121074,-0.0359473
10.8307,0.0162109,0.00240794,-0.0512065
10.8407,-0.00234436,-0.00417548,-0.0109505
10.8507,0.00753129,-0.0194378,0.0067104
10.8607,0.0132171,-0.0062693,-0.01214
10.8707,0.00678234,-0.0013308,0.0240758
10.8807,-0.00623646,-0.0186882,0.0216854
10.8907,-0.00593761,0.0107906,0.0255798
10.9007,-0.0131206,0.0118385,0.0347114
10.9107,0.00184261,-0.015844,0.00403969
10.9207,-0.00578932,-0.0210809,-0.0326175
10.9307,0.00453513,-0.00881047,-0.00223744
10.9407,-0.00145082,-0.00716425,-0.00343071
10.9507,-0.0225501,0.00809888,-0.0875227
10.9607,-0.0066891,0.00944576,-0.0239233
10.9707,-0.00878453,0.00690205,0.0395265
10.9807,-0.024048,-0.00476954,-0.0126929
10.9907,-0.0161178,0.00196414,0.00721259
11.0007,-0.000256848,0.0130372,0.0546512
11.0107,-0.0131261,0.04072,-0.00160831
11.0207,-0.0215064,0.0404206,-0.00669213
11.0307,-0.000258525,0.0142341,-0.000553194
11.0407,0.0126097,0.0106426,0.00289228
11.0507,0.0100652,0.00779934,-0.0137136
11.0607,0.0299663,-0.020183,-0.0602467
11.0707,0.00318079,-0.0159934,-0.0422865
11.0807,0.0150015,-0.0164427,-0.00487351
11.0907,0.00692051,-0.0269176,0.0323898
11.1007,0.00617172,0.00360788,-0.00860677
11.1107,0.00617111,0.00360744,-0.00860295
11.1207,0.00227994,0.015129,-0.00605531
11.1307,0.0196372,-0.00567105,0.0153465
11.1407,0.0196366,-0.00567162,0.0153504
11.1507,-0.00610157,-0.00612113,-0.0245988
11.1607,-0.00879566,-0.00567287,-0.019657
11.1707,0.0185872,-0.00896556,-0.0178576
11.1807,-0.0194211,-0.0142036,-0.0085763
11.1907,-0.0159801,-0.00402905,0.00324878
11.2007,-0.00730183,-0.0124095,0.0331799
11.2107,-0.00939738,0.0235024,-0.0103606
11.2207,-0.0203215,0.0109321,0.0376765
11.2307,-0.0134388,0.0243984,0.040673
11.2407,-0.039177,0.0137733,-0.036835
11.2507,-0.0150861,0.0347214,-0.00884925
11.2607,-0.0170321,0.0248444,0.00626778
11.2707,-0.0221203,0.00479197,-0.000312521
11.2807,-0.0141903,0.00509012,-0.0603131
11.2907,0.0202255,-0.013466,0.0143593
11.3007,0.00541084,-0.0173577,-0.000899999
11.3107,0.0136402,0.000447814,-0.0321704
11.3207,0.0247127,-0.0079331,0.0616554
11.3307,0.0290515,0.00807672,-0.0115133
11.3407,0.0257588,-0.0122752,-0.0106118
11.3507,0.0321925,-0.00674002,0.0887505
11.3607,0.0220166,-0.00554433,-0.0122506
11.3707,0.0286,-0.0119801,-0.0152398
11.3807,0.029946,-0.0158722,0.0429724
11.3907,0.030095,-0.0125817,-0.0393242
11.4007,0.0113898,-0.0131818,-0.0357294
11.4107,-0.00387378,0.0185396,0.037596
11.4207,-0.00626861,0.0224286,-0.0575694
11.4307,-0.00342617,0.0216787,-0.0114779
11.4407,-0.0183905,0.00835942,0.0539167
11.4507,-0.0216831,0.0131461,-0.0303253
11.4607,-0.00462521,-0.0128924,0.0379124
11.4707,-0.0224326,0.0070075,0.000506596
11.4807,-0.0393422,0.0125423,-0.000836809
11.4907,-0.050416,0.00595644,0.0029074
11.5007,-0.0335077,0.00789987,-0.0259692
11.5107,-0.0136066,0.00236145,-0.0268638
11.5207,-0.000588901,-0.00781574,-0.00396615
11.5307,-0.0127101,0.015376,-0.0180288
11.5407,0.00763982,0.0215092,0.0144455
11.5507,0.0146721,0.00489754,-0.0199678
11.5607,0.0237993,0.00728974,0.00397714
11.5707,0.0317294,-0.00692776,-0.00365127
11.5807,0.0504333,-0.0168058,0.0155052
11.5907,0.00913298,0.00189671,-0.00304672
11.6007,0.00150087,-0.0280327,-0.000499939
11.6107,0.0267888,-0.0162135,-0.0156103
11.6207,0.0170618,-0.0175623,0.0129732
11.6307,0.0145173,-0.00364827,-0.0567547
11.6407,-0.00822805,-0.00544606,0.0102853
11.6507,-0.00209358,0.00128542,0.0020581
11.6607,0.0130191,0.014152,-0.0347498
11.6707,-0.00688321,-0.00081388,0.0158301
11.6807,-0.00658457,0.003673,0.0502492
11.6907,-0.0212496,0.00741169,-0.0176833
11.7007,-0.0173597,-0.000670925,0.0309512
11.7107,-0.0179588,0.00785611,0.0269135
11.7207,-0.0246931,0.0114451,-0.0299459
11.7307,-0.0130221,0.0151838,-0.0203667
11.7407,-0.00404447,-0.000530365,-0.0196162
11.7507,0.000593649,0.00246007,-0.00719399
11.7607,0.00882305,-0.0125059,-0.0110822
11.7707,0.00553044,-0.00996438,0.000442022
11.7807,-0.00674037,0.000358232,0.00014495
11.7907,0.0179491,0.00394719,0.0190013
11.8007,-0.00958466,0.0103792,0.0249889
11.8107,0.00448058,0.0302786,0.0309764
11.8207,0.00253472,0.00648401,-0.00583219
11.8307,-0.0021046,-0.0132704,0.0597106
11.8407,-0.0218572,-0.00609015,0.00464623
11.8507,0.015701,-0.0165671,-0.0448816
11.8607,-0.0241029,0.00931773,-0.02423
11.8707,0.0162984,-0.000411004,-0.00253091
11.8807,0.00178308,-0.00505209,-0.00282848
11.8907,-0.0104877,-0.0150801,-0.0146481
11.9007,0.0173442,0.0063156,0.0199195
11.9107,0.0153983,0.00780962,0.00795015
