time (sec),X vibration (g),Y vibration (g),Z vibration (g)
9.00045,-0.00157177,-0.00177259,0.00115749
9.01045,-0.000824421,-0.000796161,-0.0022459
9.02045,-0.000336468,-0.000796293,-0.00200246
9.03045,-0.00131335,0.000180126,-0.001286
9.04045,-7.77115e-05,-0.000567692,-0.00273629
9.05045,0.000150853,0.000912252,-0.00078389
9.06045,-0.000841275,0.00335349,0.000893848
9.07045,-0.000139685,0.00190375,0.00577591
9.08045,-0.000841891,-6.47814e-05,0.00212835
9.09045,0.000637898,0.000652207,-0.0027399
9.10046,-0.00160543,0.00239152,0.00502604
9.11046,0.000133764,0.00115539,0.000188296
9.12046,0.000621749,-0.00104205,0.000935229
9.13046,0.00136913,0.000895614,-0.0027276
9.14046,0.0016435,0.00162784,-0.00639044
9.15046,0.00232986,-0.000798496,0.00143651
9.16046,0.00159716,-0.00250768,0.00167989
9.17046,0.00307698,-0.00252314,-0.00317313
9.18046,-0.000112358,-0.0025081,0.00166311
9.19046,0.00254238,-0.00102823,0.00460726
9.20046,0.00159608,-0.00202027,0.00143268
9.21046,0.00232823,-0.0020205,-0.000750086
9.22046,-0.000372813,-0.000540636,0.00431502
9.23046,0.000603488,0.000420423,0.00213224
9.24046,-0.00154824,-0.00202121,-0.00226305
9.25046,0.0011523,-0.00228085,-0.00565127
9.26046,-0.000831575,0.000175545,-0.0010592
9.27046,-0.00377674,0.00164012,0.00109148
9.28046,-0.00280042,0.0043254,0.000358262
9.29046,-0.00280066,-0.000313508,0.00112039
9.30047,-0.00206847,0.000418642,0.00160786
9.31047,-0.00112266,0.00116605,0.00551328
9.32047,-0.00106185,-0.000329577,-0.00251361
9.33047,0.000845263,0.00163852,0.00308551
9.34047,-0.00060453,0.00163824,0.000643305
9.35047,-0.000314829,0.000890276,-0.00544573
9.36047,0.000661517,0.00186654,-0.00642312
9.37047,0.00308744,0.00211039,-0.00395204
9.38047,0.00282784,-0.00129259,-0.00222863
9.39047,0.00304126,-0.00127763,0.00263805
9.40047,0.00594021,-0.00201034,0.00535326
9.41047,0.00207957,-0.00178177,0.000194988
9.42047,0.00304068,-0.00201095,0.00313907
9.43047,-0.000118058,0.00041487,0.000651064
9.44047,0.00351333,0.000918096,0.0036104
9.45047,0.00136167,0.000170106,-0.0020209
9.46047,0.00258219,-0.000562627,-0.00127408
9.47047,0.00085778,-0.00300434,0.000189906
9.48047,0.000399847,-0.0022875,-0.00371717
9.49047,-0.000332739,0.000641847,-0.00423683
9.50048,-0.00304895,-0.000319775,0.00134699
9.51048,-0.00379679,0.00213655,0.00400114
9.52048,-0.00181332,0.00112914,-0.00182854
9.53048,-0.00352245,-0.00129732,-0.00158526
9.54048,-0.0040414,0.00335625,0.00495985
9.55048,-0.000379467,0.00164694,0.00379932
9.56048,-0.000608496,0.00187549,0.000380501
9.57048,-0.00375193,0.00137161,-0.0028247
9.58048,-0.00105129,0.00137127,-0.0049923
9.59048,0.000627027,0.00112679,-0.00253653
9.60048,0.00254948,-0.00226098,0.00286417
9.61048,0.00183219,-0.00227658,0.000910178
9.62048,0.0013743,-0.00278046,-0.00420236
9.63048,0.000855369,-0.00349797,0.000176
9.64048,0.00155714,-0.00177408,0.00601919
9.65048,0.00276245,-0.00177443,0.00652185
9.66048,0.00184681,-0.000325204,-0.00177976
9.67048,-0.000106427,0.00211584,-0.000605732
9.68048,0.00184657,0.0025885,-0.00156792
9.69048,0.00184645,0.00258815,-0.00156881
9.70049,-0.00176997,0.000131152,-0.00720015
9.71049,-0.00158698,-0.00203594,0.000382526
9.72049,-0.00158709,-0.00203629,0.000381634
9.73049,-0.00279264,-8.35317e-05,-0.000870471
9.74049,-0.00279275,-8.38868e-05,-0.000871364
9.75049,-0.000183614,-0.00103028,0.00964098
9.76049,-0.00109924,-8.45989e-05,-0.000125478
9.77049,-0.00186227,0.000174442,0.00645012
9.78049,-0.00209125,0.00455333,0.0020242
9.79049,0.000609438,0.0016233,0.000375369
9.80049,0.000609342,0.00162294,0.000374471
9.81049,-0.00129809,0.00281276,-0.00623344
9.82049,-0.00129818,0.0028124,-0.00623434
9.83049,0.00256218,-0.00155194,0.00113471
9.84049,0.00211959,-0.00229998,-0.00666338
9.85049,-0.00010827,-0.00423819,-0.000576066
9.86049,-0.00041353,-0.00176664,0.00720496
9.87049,0.00205829,-0.000805705,0.0033131
9.88049,0.000593375,-0.00129434,0.00306806
9.89049,0.000349154,-7.40105e-05,0.00354017
9.9005,-0.0011005,0.00357245,0.000823224
